I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

 2  38.823333333   65.766666667        0      301    15      0.000    J UTSK UT KARSHI NDB
 2  25.194461111  110.037036111        0      316    25      0.000    J ZGKL ZG LIANGJIANG (GUILIN) NDB
 2  42.870000000  129.340000000        0      332    15      0.000   JA ZYYJ ZY DEXIN (YANJI) NDB
13  45.744494444   15.608180556     2927    11765   130      0.000  JAP ENRT LD JAPETIC DME
13  62.660497222   29.610525000      413    11570   130      0.000  JNS ENRT EF JOSIE (JOENSUU) DME
 3  39.564666667    2.746638889        1    11770    40      1.000  JOA ENRT LE PALMA SON SANT JOAN VOR/DME
12  39.564750000    2.746583333        1    11770    40      0.000  JOA ENRT LE PALMA SON SANT JOAN VOR/DME
 3  57.760388889   14.065416667      774    11580   130      4.000  JON ENRT ES JONKOPING VOR/DME
12  57.760388889   14.065416667      774    11580   130      0.000  JON ENRT ES JONKOPING VOR/DME
 3  36.815194444   -6.026527778      295    11300   130     -2.000  JRZ ENRT LE JEREZ VOR/DME
12  36.815250000   -6.026305556      295    11300   130      0.000  JRZ ENRT LE JEREZ VOR/DME
 3  49.221102778   -2.046152778      264    11220   130     -1.000  JSY ENRT EG JERSEY VOR/DME
12  49.221102778   -2.046152778      264    11220   130      0.000  JSY ENRT EG JERSEY VOR/DME
 2  44.742916667   20.475305556        0      316    15      0.000   JA ENRT LY BELGRADE NDB
 2  70.961208333   -8.575858333        0      362    50      0.000  JAN ENRT EN JAN MAYEN NDB
 2  36.834472222   -6.016222222        0      433    50      0.000  JER ENRT LE JEREZ NDB
 2  60.723333333  -46.029444444        0      265    15      0.000   JH ENRT BG JULIANEHAB NDB
 2  43.424611111   21.631305556        0      405    25      0.000  JST ENRT LY NIS NDB
 2  69.241419444  -51.072369444        0      367    50      0.000   JV ENRT BG ILULISSAT NDB
 2  49.205913889   -2.219925000        0      329    25      0.000   JW ENRT EG JERSEY NDB
 2  56.996111111   14.757388889        0      349    15      0.000   JX ENRT ES VAXJO NDB
 2  22.085000000  -84.182222222        0      353    15      0.000    J ENRT MU SAN JULIAN NDB
 2  18.233333333  -72.516666667        0      213    50      0.000  JML ENRT MT JACMEL NDB
 2  18.666666667  -74.141666667        0      384    50      0.000  JRM ENRT MT JEREMIE NDB
 3  27.694333333   79.655611111        1    11580    40      0.400  JAL ENRT VI JALALABAD VOR/DME
12  27.694333333   79.655611111        1    11580    40      0.000  JAL ENRT VI JALALABAD VOR/DME
 3  27.821777778   52.342944444     2222    11680    40      2.000  JAM ENRT OI JAM VOR/DME
12  27.821777778   52.342944444     2222    11680    40      0.000  JAM ENRT OI JAM VOR/DME
 3  22.469236111   70.021672222       69    11500   130     -0.000  JAM ENRT VA JAMNAGAR VOR/DME
12  22.469236111   70.021672222       69    11500   130      0.000  JAM ENRT VA JAMNAGAR VOR/DME
 3  27.039416667   49.407083333        0    11290   130      2.000  JBL ENRT OE JUBAIL VOR
 3  21.712305556   39.123111111      100    11530   130      3.000  JDW ENRT OE KING ABDULAZIZ (JEDDAH) VORTAC
12  21.712305556   39.123111111      100    11530   130      0.000  JDW ENRT OE KING ABDULAZIZ (JEDDAH) VORTAC DME
13  35.679444444   51.346388889     3962    11585    40      0.000  JET ENRT OI MEHRABAD (TEHRAN) DME
 3  26.724097222   94.165175000      284    11210   130     -0.000  JHT ENRT VE JORHAT VOR/DME
12  26.724097222   94.165175000      284    11210   130      0.000  JHT ENRT VE JORHAT VOR/DME
 3  25.063825000   61.795447222      227    11270   130      1.000   JI ENRT OP JIWANI VOR/DME
12  25.063825000   61.795447222      227    11270   130      0.000   JI ENRT OP JIWANI VOR/DME
 3  23.180166667   80.059333333     1744    11360   130     -0.000  JJB ENRT VA JABALPUR VOR/DME
12  23.180166667   80.059333333     1744    11360   130      0.000  JJB ENRT VA JABALPUR VOR/DME
 3  26.233611111   73.050000000      717    11230   130     -0.000  JJO ENRT VI JODHPUR VOR/DME
12  26.233611111   73.050000000      717    11230   130      0.000  JJO ENRT VI JODHPUR VOR/DME
 3  26.825900000   75.838388889     1263    11290   130     -0.000  JJP ENRT VI JAIPUR VOR/DME
12  26.825900000   75.838388889     1263    11290   130      0.000  JJP ENRT VI JAIPUR VOR/DME
 3  22.813222222   86.173944444      500    11540   130     -0.000  JJS ENRT VE JAMSHEDPUR VOR/DME
12  22.813222222   86.173944444      500    11540   130      0.000  JJS ENRT VE JAMSHEDPUR VOR/DME
 3  32.691666667   74.837777778     1029    11330    40      1.500  JJU ENRT VI JAMMU VOR/DME
12  32.691666667   74.837777778     1029    11330    40      0.000  JJU ENRT VI JAMMU VOR/DME
 3  20.964133333   75.633619444      816    11750   130     -0.000  JLG ENRT VA JALGAON VOR/DME
12  20.964133333   75.633619444      816    11750   130      0.000  JLG ENRT VA JALGAON VOR/DME
