I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

 2  50.650000000 -118.925277778        0      350    50      0.000   NY ENRT CY ENDERBY NDB
 3  39.201638889   45.440944444     2900    11650   130      4.000  NAX ENRT UB NAKHCHIVAN VOR/DME
12  39.201638889   45.440944444     2900    11650   130      0.000  NAX ENRT UB NAKHCHIVAN VOR/DME
 3  28.885000000  115.911666667      142    11510   130     -3.000  NCH ENRT ZS CHANGBEI VOR/DME
12  28.885000000  115.911666667      142    11510   130      0.000  NCH ENRT ZS CHANGBEI VOR/DME
 3  47.243955556  123.920794444      476    11290   130    -10.000  NDG ENRT ZY QIQIHAR VOR/DME
12  47.243955556  123.920794444      476    11290   130      0.000  NDG ENRT ZY QIQIHAR VOR/DME
 3  50.366558333   14.621363889     1000    11225   130      3.000  NER ENRT LK NERATOVICE VOR/DME
12  50.366558333   14.621363889     1000    11225   130      0.000  NER ENRT LK NERATOVICE VOR/DME
 3  29.828902778  121.462352778       28    11630   130     -4.000  NGB ENRT ZS NINGBO VOR/DME
12  29.828902778  121.462352778       28    11630   130      0.000  NGB ENRT ZS NINGBO VOR/DME
 3  48.290555556   18.050555556      810    11650    40      4.000  NIT ENRT LZ NITRA VOR/DME
12  48.290555556   18.050555556      810    11650    40      0.000  NIT ENRT LZ NITRA VOR/DME
 3  60.943972222   76.467777778      167    11230    40     15.000  NJC ENRT US NIZHNEVARTOVSK VOR/DME
12  60.943972222   76.467777778      167    11230    40      0.000  NJC ENRT US NIZHNEVARTOVSK VOR/DME
 3  31.755000000  118.886666667       79    11360   130     -4.000  NJL ENRT ZS LUKOU (NANJING) VOR/DME
12  31.755000000  118.886666667       79    11360   130      0.000  NJL ENRT ZS LUKOU (NANJING) VOR/DME
 3  45.831111111   62.127500000      249    11360    40      8.000  NKZ ENRT UA NOVOKAZALINSK VOR/DME
12  45.831111111   62.127500000      249    11360    40      0.000  NKZ ENRT UA NOVOKAZALINSK VOR/DME
 3  22.531666667  113.561666667       30    11770   130     -2.000  NLG ENRT ZG NANLANG VOR/DME
12  22.531666667  113.561666667       30    11770   130      0.000  NLG ENRT ZG NANLANG VOR/DME
 3  43.435000000   83.381666667     3068    11550   130      4.000  NLT ENRT ZW NALATI VOR/DME
12  43.435000000   83.381666667     3068    11550   130      0.000  NLT ENRT ZW NALATI VOR/DME
 3  40.981944444   71.560583333     1592    11600    40      4.000  NMA ENRT UT NAMANGAN VOR/DME
12  40.981944444   71.560583333     1592    11600    40      0.000  NMA ENRT UT NAMANGAN VOR/DME
 3  25.095000000  114.273333333      128    11560   130     -3.000  NNX ENRT ZG NANXIONG VOR/DME
12  25.095000000  114.273333333      128    11560   130      0.000  NNX ENRT ZG NANXIONG VOR/DME
 3  69.302777778   87.303638889      591    11420   130     19.000  NOR ENRT UO NORILSK VOR/DME
12  69.302777778   87.303638889      591    11420   130      0.000  NOR ENRT UO NORILSK VOR/DME
 3  56.908444444  124.879444444     2854    11380    40    -14.000  NRG ENRT UE CHULMAN (NERYUNGRI) VOR/DME
12  56.908444444  124.879444444     2854    11380    40      0.000  NRG ENRT UE CHULMAN (NERYUNGRI) VOR/DME
 3  67.638055556   53.110833333       43    11230   130     21.000  NRM ENRT UL NARYAN-MAR VOR/DME
12  67.638055556   53.110833333       43    11230   130      0.000  NRM ENRT UL NARYAN-MAR VOR/DME
 3  33.318333333  108.311666667        1    11630   130     -3.000  NSH ENRT ZL NINGSHAN VOR/DME
12  33.318333333  108.311666667        1    11630   130      0.000  NSH ENRT ZL NINGSHAN VOR/DME
 3  55.013750000   82.639222222      394    11330    40      9.000  NSK ENRT UN NOVOSIBIRSK VOR/DME
12  55.013750000   82.639222222      394    11330    40      0.000  NSK ENRT UN NOVOSIBIRSK VOR/DME
13  49.342500000   19.967500000     3248    11595   130      0.000  NTA ENRT EP NOWY TARG DME
 3  32.098291667  120.979352778       62    11560   130     -5.000  NTG ENRT ZS NANTONG VOR/DME
12  32.098291667  120.979352778       62    11560   130      0.000  NTG ENRT ZS NANTONG VOR/DME
 3  40.114833333   65.176416667     1171    11380    40      5.000  NVI ENRT UT NAVOI VOR/DME
12  40.114833333   65.176416667     1171    11380    40      0.000  NVI ENRT UT NAVOI VOR/DME
13  57.038055556   37.995277778      492    11100   130      0.000   NX ENRT UU NERL DME
 3  30.896666667  120.430000000       50    11650   130     -5.000  NXD ENRT ZS NANXUN VOR/DME
12  30.896666667  120.430000000       50    11650   130      0.000  NXD ENRT ZS NANXUN VOR/DME
 3  20.015000000  110.136666667       75    11330    40     -1.000  NYB ENRT ZJ NANYINGBINDAO VOR/DME
12  20.015000000  110.136666667       75    11330    40      0.000  NYB ENRT ZJ NANYINGBINDAO VOR/DME
 3  47.991194444   21.692555556      354    11610    40      5.000  NYR ENRT LH NYIREGYHAZA VOR/DME
12  47.991194444   21.692555556      354    11610    40      0.000  NYR ENRT LH NYIREGYHAZA VOR/DME
 2  49.713200000   18.138030556        0      258    15      0.000    N ENRT LK NADA (OSTRAVA) NDB
 2  25.956666667  119.675000000        0      229    50      0.000    N ENRT ZS FUZHOU NDB
 2  66.568333333   66.508055556        0      315    25      0.000   NA ENRT US SALEKHARD NDB
 2  55.533194444   52.033194444        0      370    50      0.000   NA ENRT UW BEGISHEVO NDB
 2  65.527777778 -179.293611111        0      400    50      0.000   NB ENRT UH UELKAL NDB
 2  45.763888889   40.244166667        0      507    50      0.000   ND ENRT UR BOLSHEVIK NDB
 2  57.037777778   37.995277778        0      900    50      0.000   NE ENRT UU NERL NDB
 2  27.208333333  116.558333333        0      292    50      0.000   NF ENRT ZS NANFENG NDB
 2  56.177611111   43.763805556        0      245    75      0.000   NG ENRT UW NIZHNY NOVGOROD NDB
 2  52.748333333  104.454722222        0      699    50      0.000   NH ENRT UI NIKOLSK NDB
