I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

13  56.123611111   40.316388889      591    10900   130      0.000   WR ENRT UU VLADIMIR DME
 3  43.231027778   27.817166667      200    11240   130      4.000  WRN ENRT LB VARNA VOR/DME
12  43.231027778   27.817166667      200    11240   130      0.000  WRN ENRT LB VARNA VOR/DME
 3  30.638333333  113.143333333      200    10880   130     -4.000  WTM ENRT ZH TIANMEN VOR/DME
12  30.638333333  113.143333333      200    10880   130      0.000  WTM ENRT ZH TIANMEN VOR/DME
 3  22.585988889  108.150072222      469    11240   130     -2.000  WUY ENRT ZG NANNING VOR/DME
12  22.585988889  108.150072222      469    11240   130      0.000  WUY ENRT ZG NANNING VOR/DME
13  54.346111111   38.238611111      787    10860   130      0.000   WW ENRT UU VENEV DME
 3  36.363333333  114.916666667     5000    11570   130     -5.000  WXI ENRT ZB WEIXIAN VOR/DME
12  36.363333333  114.916666667     5000    11570   130      0.000  WXI ENRT ZB WEIXIAN VOR/DME
 3  24.350000000  114.111666667      141    11390   130     -3.000  WYN ENRT ZG WENGYUAN VOR/DME
12  24.350000000  114.111666667      141    11390   130      0.000  WYN ENRT ZG WENGYUAN VOR/DME
 2  28.219902778  113.217897222        0      388    15      0.000    W ENRT ZG GUTANG NDB
 2  29.698200000  106.634305556        0      210    15      0.000    W ENRT ZU HUIXING NDB
 2  51.724722222   36.357777778        0      742    50      0.000   WA ENRT UU KURSK NDB
 2  42.575000000   23.704444444        0      490    25      0.000  WAK ENRT LB VAKAREL NDB
 2  60.255277778   90.195555556        0      450    50      0.000   WD ENRT UN YARTSEVO NDB
 2  48.759333333   44.405888889        0      325    15      0.000   WD ENRT UR VOLGOGRAD NDB
 2  53.554055556   24.056027778        0      452    15      0.000   WF ENRT UM HRODNA NDB
 2  39.945000000  116.875000000        0      395    50      0.000   WF ENRT ZB XILIUHETUN NDB
 2  48.779527778   44.342333333        0      876    15      0.000   WG ENRT UR VOLGOGRAD NDB
 2  52.162055556   77.024055556        0      440    15      0.000   WL ENRT UA PAVLODAR NDB
 2  18.488333333  109.403333333        0      426    75      0.000   WL ENRT ZJ BAOLONG NDB
 2  51.843888889   39.175694444        0      289    25      0.000   WR ENRT UU VORONEZH NDB
 2  55.103611111   30.275222222        0      524    15      0.000   WS ENRT UM VICIEBSK NDB
 2  59.466666667  112.533333333        0      365    75      0.000   WT ENRT UE VITIM NDB
 2  55.588888889   37.785833333        0     1215    75      0.000   WT ENRT UU KARTINO NDB
 2  30.125775000  120.200630556        0      572    75      0.000   WY ENRT ZS WENYAN NDB
 2  50.635555556  128.035277778        0      460    50      0.000   WZ ENRT UH SREDNEBELOYE NDB
 2  55.221944444   36.994722222        0      230    75      0.000   WZ ENRT UU KAMENKA NDB
 2  52.181444444   77.052472222        0      213    15      0.000    W UASP UA PAVLODAR NDB
 2  66.377500000  112.046638889        0      255    15      0.000    W UERP UE POLIARNY NDB
 2  66.354388889  112.063722222        0      525    15      0.000   WN UERP UE POLIARNY NDB
 2  59.908333333  150.821666667        0      375    15      0.000   WA UHMM UH SOKOL (MAGADAN) NDB
 2  53.145750000  158.467000000        0      465    15      0.000    W UHPP UH YELIZOVO(PETROPAVLOVSK-KAMCHAT NDB
 2  50.617500000   26.112777778        0      678    15      0.000    W UKLR UK RIVNE NDB
 2  49.277638889   28.564750000        0      415    15      0.000   WI UKWW UK GAVRYSHIVKA (VINNYTSIA) NDB
 2  49.206055556   28.664166667        0      415    15      0.000   WN UKWW UK GAVRYSHIVKA (VINNYTSIA) NDB
 2  55.115694444   30.315333333        0     1065    15      0.000    W UMII UM VICIEBSK NDB
 2  53.580083333   24.054972222        0      920    15      0.000    W UMMG UM HRODNA NDB
 2  43.390000000   45.730000000        0      408    15      0.000   WK URMG UR SEVERNY (GROZNY) NDB
 2  47.272638889   39.839750000        0      659    25      0.000    W URRR UR ROSTOV-NA-DONU NDB
 2  60.125333333   64.834416667        0      378    15      0.000    W USHU US URAY NDB
 2  60.151916667   64.846472222        0      780    15      0.000   WI USHU US URAY NDB
 2  56.744750000   60.716750000        0      467    15      0.000   WP USSS US KOLTSOVO (YEKATERINBURG) NDB
 2  40.043333333   53.013333333        0      911    15      0.000    W UTAK UT TURKMENBASHI NDB
 2  40.018333333   53.020833333        0      610    50      0.000   WZ UTAK UT TURKMENBASHI NDB
 2  38.543333333   68.853333333        0      732    50      0.000    W UTDD UT DUSHANBE NDB
 2  38.543333333   68.888333333        0      372    50      0.000   WG UTDD UT DUSHANBE NDB
 2  54.564444444   36.351277778        0      286    15      0.000   WI UUBC UU GRABTSEVO (KALUGA) NDB
 2  55.431111111   37.898333333        0      887    25      0.000    W UUDD UU DOMODEDOVO (MOSCOW) NDB
 2  51.738888889   36.323333333        0      368    50      0.000    W UUOK UU KURSK NDB
 2  51.827638889   39.206055556        0      595    25      0.000    W UUOO UU CHERTOVITSKOYE (VORONEZH) NDB
 2  54.428055556   48.830777778        0      830    15      0.000    W UWLW UW VOSTOCHNY (ULYANOVSK) NDB
 2  54.453222222   48.857000000        0      408    25      0.000   WN UWLW UW VOSTOCHNY (ULYANOVSK) NDB
 2  51.795750000   55.422500000        0      843    25      0.000    W UWOO UW ORENBURG NDB
 2  51.795694444   55.381027778        0      415    25      0.000   WP UWOO UW ORENBURG NDB
 2  53.099583333   45.058666667        0      286    25      0.000    W UWPP UW PENZA NDB
 2  53.088333333   45.098333333        0      591    25      0.000   WH UWPP UW PENZA NDB
 2  53.527166667   50.163305556        0      588    15      0.000    W UWWW UW KURUMOCH (SAMARA) NDB
 2  53.553027778   50.147833333        0      287    50      0.000   WG UWWW UW KURUMOCH (SAMARA) NDB
 2  32.048616667  120.980777778        0      425    25      0.000    W ZSNT ZS XINGDONG (NANTONG) NDB
 2  29.518333333  106.660000000        0      306    50      0.000   WX ZUCK ZU CHANGSHENGQIAO NDB
 3  53.165355556   -0.526713889      231    11710    40     -1.000  WAD ENRT EG WADDINGTON TACAN
12  53.165355556   -0.526713889      231    11710    40      0.000  WAD ENRT EG WADDINGTON TACAN DME
 3  53.391936111   -3.134461111       55    11410   130     -2.000  WAL ENRT EG WALLASEY VOR/DME
12  53.391936111   -3.134461111       55    11410   130      0.000  WAL ENRT EG WALLASEY VOR/DME
 3  51.447400000    4.343925000       94    11500   130      1.000  WDT ENRT EH WOENSDRECHT TACAN
12  51.447400000    4.343925000       94    11500   130      0.000  WDT ENRT EH WOENSDRECHT TACAN DME
13  46.834583333    9.795138889     9478    11375   130      0.000  WFJ ENRT LS WEISSFLUHGIPFEL DME
 3  48.323855556   16.490952778      574    11220   130      4.000  WGM ENRT LO WAGRAM VOR/DME
12  48.323916667   16.490808333      574    11220   130      0.000  WGM ENRT LO WAGRAM VOR/DME
 3  50.046080556    8.310797222      471    11410   130      1.000  WIB ENRT ET WIESBADEN TACAN
12  50.046080556    8.310797222      471    11410   130      0.000  WIB ENRT ET WIESBADEN TACAN DME
 3  58.458816667   -3.100369444      145    11360   130     -3.000  WIK ENRT EG WICK VOR/DME
12  58.458816667   -3.100369444      145    11360   130      0.000  WIK ENRT EG WICK VOR/DME
