I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

 2  54.608888889   37.323611111        0     1055    50      0.000   IN ENRT UU SUKHOTINO NDB
 2  56.342777778   85.162500000        0      380    15      0.000   IO ENRT UN BOGASHEVO (TOMSK) NDB
 2  47.234277778   27.579694444        0      351    50      0.000  ISI ENRT LR IASI NDB
 2  48.895277778   24.615000000        0      290    15      0.000   IV ENRT UK IVANO-FRANKIVS'K NDB
 2  47.162944444   27.636277778        0      384    25      0.000  IAS LRIA LR IASI NDB
 2  42.358416667   69.506222222        0      733    50      0.000    I UAII UA SHYMKENT NDB
 2  42.588147222   76.721183333        0      449    25      0.000   IK UCFL UC ISSYK-KUL NDB
 2  60.733000000  114.856250000        0      330    25      0.000    I UERL UE LENSK NDB
 2  60.747277778  114.903583333        0      678    25      0.000   IG UERL UE LENSK NDB
 2  52.258555556  104.426583333        0      545    15      0.000    I UIII UI IRKUTSK NDB
 2  52.249111111  104.462000000        0      514    50      0.000   IR UIII UI IRKUTSK NDB
 2  50.368888889   30.907138889        0      640    15      0.000    I UKBB UK BORYSPIL' (KYIV) NDB
 2  49.257416667   28.592888889        0      842    15      0.000    I UKWW UK GAVRYSHIVKA (VINNYTSIA) NDB
 2  67.475972222   33.541888889        0      595    25      0.000    I ULMK UL KHIBINY (APATITY) NDB
 2  67.493333333   33.486305556        0     1210    25      0.000   IO ULMK UL KHIBINY (APATITY) NDB
 2  56.365277778   85.188888889        0      770    25      0.000    I UNTT UN BOGASHEVO (TOMSK) NDB
 2  63.703750000   66.701194444        0      387    25      0.000    I USHQ US BELOYARSKIY NDB
 2  63.726972222   66.702888889        0      785    25      0.000   IU USHQ US BELOYARSKIY NDB
 2  52.686333333   39.547944444        0      400    15      0.000    I UUOL UU LIPETSK NDB
 2  52.662083333   39.562527778        0      815    15      0.000   IT UUOL UU LIPETSK NDB
