I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

 3  49.769719444  -86.984322222     1221    11420    40     -5.000  YGQ ENRT CY GERALDTON VOR/DME
12  49.769719444  -86.984322222     1221    11420    40      0.000  YGQ ENRT CY GERALDTON VOR/DME
 3  47.430166667  -61.773930556       45    11200    40    -20.000  YGR ENRT CY GRINDSTONE VOR/DME
12  47.430166667  -61.773930556       45    11200    40      0.000  YGR ENRT CY GRINDSTONE VOR/DME
 3  60.836266667 -115.803269444      577    11390    40     17.000  YHY ENRT CY HAY RIVER VOR/DME
12  60.836266667 -115.803269444      577    11390    40      0.000  YHY ENRT CY HAY RIVER VOR/DME
 3  44.923055556  -63.401944444      650    11510    40    -18.000  YHZ ENRT CY HALIFAX VOR/DME
12  44.923055556  -63.401944444      650    11510    40      0.000  YHZ ENRT CY HALIFAX VOR/DME
 3  45.255811111  -73.321280556      189    11580    40    -16.000  YJN ENRT CY ST-JEAN VOR/DME
12  45.255802778  -73.321305556      189    11580    40      0.000  YJN ENRT CY ST-JEAN VOR/DME
 3  48.582469444  -58.669183333     1284    11310    40    -21.000  YJT ENRT CY STEPHENVILLE VOR/DME
12  48.582222222  -58.669805556     1284    11310    40      0.000  YJT ENRT CY STEPHENVILLE VOR/DME
 3  57.167225000 -105.841022222     1915    11530    40     10.000  YKJ ENRT CY KEY LAKE VOR/DME
12  57.167225000 -105.841022222     1915    11530    40      0.000  YKJ ENRT CY KEY LAKE VOR/DME
 3  54.814491667  -66.754894444     2035    11270    40    -22.000  YKL ENRT CY SCHEFFERVILLE VOR/DME
12  54.814491667  -66.754894444     2035    11270    40      0.000  YKL ENRT CY SCHEFFERVILLE VOR/DME
 3  50.331111111 -105.563333333     1898    11340   130     10.000  YMJ ENRT CY MOOSE JAW VORTAC
12  50.331111111 -105.563333333     1898    11340   130      0.000  YMJ ENRT CY MOOSE JAW VORTAC DME
 3  56.647222222 -111.122222222     1205    11200    40     14.000  YMM ENRT CY FORT MCMURRAY VOR/DME
12  56.647222222 -111.122222222     1205    11200    40      0.000  YMM ENRT CY FORT MCMURRAY VOR/DME
 3  51.291388889  -80.607222222       40    11290    40    -13.000  YMO ENRT CY MOOSONEE VOR/DME
12  51.291388889  -80.607222222       40    11290    40      0.000  YMO ENRT CY MOOSONEE VOR/DME
 3  44.143163889  -80.146419444     1687    11450    40     -9.000  YMS ENRT CY MANS (MANSFIELD) VOR/DME
12  44.143163889  -80.146419444     1687    11450    40      0.000  YMS ENRT CY MANS (MANSFIELD) VOR/DME
13  49.800050000  -74.495683333     1340    11210    40      0.000  YMT ENRT CY CHIBOO (CHIBOUGAMAU) DME
 3  45.888191667  -74.375700000     1663    11670    40    -15.000  YMX ENRT CY MIRABEL (MONTREAL) VOR/DME
12  45.888191667  -74.375700000     1663    11670    40      0.000  YMX ENRT CY MIRABEL (MONTREAL) VOR/DME
 3  50.183611111  -61.780880556       57    11360    40    -21.000  YNA ENRT CY NATASH (NATASHQUAN) VOR/DME
12  50.183611111  -61.780880556       57    11360    40      0.000  YNA ENRT CY NATASH (NATASHQUAN) VOR/DME
 3  50.677827778 -118.938788889     6647    11520    40     16.000  YNY ENRT CY ENDERBY VOR/DME
12  50.677827778 -118.938788889     6647    11520    40      0.000  YNY ENRT CY ENDERBY VOR/DME
 3  58.554261111 -117.093016667     1112    11330    40     17.000  YOJ ENRT CY HIGH LEVEL VOR/DME
12  58.554261111 -117.093016667     1112    11330    40      0.000  YOJ ENRT CY HIGH LEVEL VOR/DME
 3  45.441744444  -75.896863889      482    11460    40    -14.000  YOW ENRT CY OTTAWA VOR/DME
12  45.441744444  -75.896863889      482    11460    40      0.000  YOW ENRT CY OTTAWA VOR/DME
 3  53.216402778 -105.666483333     1430    11300    40     10.000  YPA ENRT CY PRINCE ALBERT VOR/DME
12  53.216402778 -105.666483333     1430    11300    40      0.000  YPA ENRT CY PRINCE ALBERT VOR/DME
 3  56.206922222 -117.511800000     1919    11720    40     17.000  YPE ENRT CY PEACE RIVER VOR/DME
12  56.206922222 -117.511800000     1919    11720    40      0.000  YPE ENRT CY PEACE RIVER VOR/DME
 3  49.899666667  -98.267250000      900    11460    40      4.000  YPG ENRT CY PORTAGE (PORTAGE LA PRAIR VOR/DME
12  49.899666667  -98.267250000      900    11460    40      0.000  YPG ENRT CY PORTAGE (PORTAGE LA PRAIR VOR/DME
 3  49.215933333 -122.714880556        0    11240    40     17.000  YPK ENRT CY PITT MEADOWS VOR
13  60.058930556  -77.296736111      129    11350    40      0.000  YPX ENRT CY PUVIRNITUQ DME
 3  46.705308333  -71.626261111      237    11280    40    -16.000  YQB ENRT CY QUEBEC VORTAC
