I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

 2  -6.139444444   12.372222222        0      310    50      0.000   SO ENRT FN SOYO NDB
 2 -15.582388889   32.765833333        0      290    15      0.000   SO ENRT FQ SONGO NDB
 2   1.722411111   33.623008333        0      323    75      0.000   SO ENRT HU SOROTI NDB
 2 -22.052550000   27.819880556        0      303    50      0.000   SP ENRT FB SELEBI-PHIKWE NDB
 2 -21.277555556   55.362250000        0      352    50      0.000   SP ENRT FM ST PIERRE (PIERREFONDS) NDB
 2   0.374858333    6.716636111        0      330    15      0.000   SP ENRT FP SAO TOME NDB
 2  16.650000000  -14.966666667        0      376    50      0.000   SR ENRT GO PODOR NDB
 2  31.061650000   16.586783333        0      407    75      0.000  SRT ENRT HL SIRTE NDB
 2 -27.676111111   23.013888889        0      272    50      0.000   SS ENRT FA SISHEN NDB
 2 -15.961138889   -5.643408333        0      325    50      0.000   ST ENRT FH ST HELENA NDB
 2  13.735666667  -13.663055556        0      370    50      0.000  STD ENRT GO TAMBACOUNDA NDB
 2  29.733333333   17.950000000        0      317    50      0.000  STF ENRT HL N 29C NDB
 2  16.829155556  -25.064625000        0      333    25      0.000  SVT ENRT GV SAO VICENTE NDB
 2 -12.169444444   26.366388889        0      415    75      0.000   SW ENRT FL SOLWEZI NDB
 2  -8.919783333   33.376597222        0      340    75      0.000   SW ENRT HT SONGWE NDB
 2 -20.299722222   28.943333333        0      242    50      0.000   SZ ENRT FV ESIGODINI (BULAWAYO) NDB
 2 -24.980277778   31.598611111        0      233    50      0.000  SZN ENRT FA SKUKUZA NDB
 2  12.910666667    5.184750000        0      397    25      0.000   SK DNSO DN SOKOTO NDB
 2 -17.953766667   31.069891667        0      330    25      0.000   SI FVHA FV HARARE INTL NDB
 2  34.176405556   -6.664277778        0      332    25      0.000  SBI GMME GM RABAT NDB
 3  70.199197222 -148.416158333       54    11390   130     23.000  SCC ENRT PA DEADHORSE VOR/DME
12  70.199197222 -148.416158333       54    11390   130      0.000  SCC ENRT PA DEADHORSE VOR/DME
 3  61.098580556 -155.634580556     2501    11720   130     18.000  SQA ENRT PA SPARREVOHN VOR/DME
12  61.098580556 -155.634580556     2501    11720   130      0.000  SQA ENRT PA SPARREVOHN VOR/DME
13  56.572200000 -169.648202778       95    11490    40      0.000  SRI ENRT PA PRIBILOF (ST. GEORGE) DME
 3  58.177661111 -135.258863889       40    11400   130     20.000  SSR ENRT PA SISTERS ISLAND VORTAC
12  58.177661111 -135.258863889       40    11400   130      0.000  SSR ENRT PA SISTERS ISLAND VORTAC DME
 3  52.718272222  174.062072222       67    10900   130      3.000  SYA ENRT PA SHEMYA VORTAC
12  52.718272222  174.062072222       67    10900   130      0.000  SYA ENRT PA SHEMYA VORTAC DME
 2  75.349166667 -105.693333333        0      396    25      0.000   S1 ENRT CY SIERRA ONE (REA POINT) NDB
 2  44.162222222  -81.060555556        0      268    50      0.000   S7 ENRT CY HANOVER NDB
 2  46.648013889  -80.922763889        0      362    50      0.000   SB ENRT CY SUDBURY NDB
 2  45.474444444  -71.787777778        0      362    25      0.000   SC ENRT CY SHERBROOKE NDB
 2  66.258086111 -166.052388889        0      365    50      0.000  SHH ENRT PA SHISHMAREF NDB
 2  56.854619444 -135.534352778        0      358    50      0.000  SIT ENRT PA SITKA NDB
 2  45.391608333  -65.818811111        0      212    50      0.000   SJ ENRT CY SAINT JOHN NDB
 2  59.971238889 -111.856925000        0      254    50      0.000   SM ENRT CY FORT SMITH NDB
 2  62.059386111 -163.281894444        0      230    50      0.000  SMA ENRT PA SAINT MARY'S NDB
 2  43.147155556  -79.254983333        0      408    25      0.000   SN ENRT CY ST CATHARINES NDB
 2  46.762638889  -56.169444444        0      386    15      0.000   SP ENRT CF ST. PIERRE NDB
 2  57.157000000 -170.232991667        0      314    50      0.000  SPY ENRT PA SAINT PAUL ISLAND NDB
 2  56.464580556 -133.097375000        0      529    50      0.000  SQM ENRT PA SUMNER STRAIT (LEVEL I.) NDB
 2  56.571905556 -169.647561111        0      399    50      0.000  SRI ENRT PA PRIBILOF (ST. GEORGE) NDB
 2  49.955000000 -115.792222222        0      368    50      0.000   SX ENRT CY SKOOKUM (CRANBROOK) NDB
 2  52.721997222  174.060286111        0      403    50      0.000  SYA ENRT PA SHEMYA NDB
 3  48.008055556   20.996388889      374    11440   130      4.000  SAG ENRT LH SAJOHIDVEG VOR/DME
12  48.008055556   20.996388889      374    11440   130      0.000  SAG ENRT LH SAJOHIDVEG VOR/DME
 3  47.727416667   22.893861111      500    10840   130      4.000  SAT ENRT LR SATU MARE VOR/DME
12  47.727416667   22.893861111      500    10840   130      0.000  SAT ENRT LR SATU MARE VOR/DME
 3  55.879055556   23.416388889      500    11520   130      9.000  SAU ENRT EY SIAULIAI VOR/DME
12  55.879055556   23.416388889      500    11520   130      0.000  SAU ENRT EY SIAULIAI VOR/DME
 3  45.780916667   24.087805556     1500    11400   130      4.000  SBI ENRT LR SIBIU VOR/DME
12  45.780916667   24.087805556     1500    11400   130      0.000  SBI ENRT LR SIBIU VOR/DME
 3  38.428333333   77.241666667      276    11330   130      3.000  SCH ENRT ZW SHACHE VOR/DME
12  38.428333333   77.241666667      276    11330   130      0.000  SCH ENRT ZW SHACHE VOR/DME
 3  47.672333333   26.360833333     1300    11230   130      6.000  SCV ENRT LR SUCEAVA VOR/DME
12  47.672333333   26.360833333     1300    11230   130      0.000  SCV ENRT LR SUCEAVA VOR/DME
 3  53.595416667   14.881500000       98    11475   130      4.000  SCZ ENRT EP SZCZECIN VOR/DME
12  53.595416667   14.881500000       98    11475   130      0.000  SCZ ENRT EP SZCZECIN VOR/DME
13  55.795833333   43.160000000      591    11230   130      0.000   SE ENRT UU SOSNOVSKOYE DME
13  46.240136111   20.089705556      266    11380    25      0.000  SEG ENRT LH SZEGED DME
 3  41.641666667  123.478333333      193    11410    40     -8.000  SEY ENRT ZY SHENYANG VOR/DME
