I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

12  66.885683333 -162.539936111      121    11570   130      0.000  OTZ ENRT PA KOTZEBUE VOR/DME
13  64.512505556 -165.432436111       54    11380    40      0.000  OYN ENRT PA GOLD (NOME) DME
 2  64.695522222 -162.063711111        0      263    50      0.000  OAY ENRT PA NORTON BAY (MOSES PT) NDB
 2  59.543638889 -139.728169444        0      385    50      0.000  OCC ENRT PA OCEAN CAPE (YAKUTAT) NDB
 2  58.553458333 -117.120991667        0      239    50      0.000   OJ ENRT CY HIGH LEVEL NDB
 2  60.474986111 -150.878880556        0      346    25      0.000  OLT ENRT PA SOLDOTNA NDB
 2  49.342500000 -119.568888889        0      356    25      0.000   ON ENRT CY OKANAGAN (PENTICTON) NDB
 2  43.920841667  -78.899969444        0      391    25      0.000   OO ENRT CY OSHAWA NDB
 2  67.570111111 -162.972625000        0      414    25      0.000  OQK ENRT PA NOATAK NDB
 2  60.791308333 -161.872758333        0      251    50      0.000  OSE ENRT PA OSCARVILLE (BETHEL) NDB
 2  46.777780556  -71.289708333        0      329    50      0.000   OU ENRT CY STE FOY (QUEBEC) NDB
 2  45.360169444  -75.561175000        0      236    25      0.000   OW ENRT CY OTTAWA NDB
 3  46.430277778   30.670833333      194    11395   130      6.000  ODS ENRT UK ODESA VOR/DME
12  46.430277778   30.670833333      194    11395   130      0.000  ODS ENRT UK ODESA VOR/DME
13  54.240555556   38.901944444      591    10840   130      0.000   OK ENRT UU OKTYABRSKIY DME
 3  52.169750000   20.960055556      394    11345   130      5.000  OKC ENRT EP OKECIE (WARSAW) VOR/DME
12  52.169750000   20.960055556      394    11345   130      0.000  OKC ENRT EP OKECIE (WARSAW) VOR/DME
 3  48.969175000   15.545577778     1600    11315   130      3.000  OKF ENRT LK DESNA VOR/DME
12  48.969175000   15.545577778     1600    11315   130      0.000  OKF ENRT LK DESNA VOR/DME
 3  50.065147222   12.405738889     1600    11570   130      3.000  OKG ENRT LK CHEB VOR/DME
12  50.065147222   12.405738889     1600    11570   130      0.000  OKG ENRT LK CHEB VOR/DME
 3  50.095866667   14.265608333     1230    11260   130      4.000  OKL ENRT LK PRAGUE VOR/DME
12  50.095777778   14.265502778     1230    11260   130      0.000  OKL ENRT LK PRAGUE VOR/DME
 3  50.902680556   15.031900000     1300    11485   130      3.000  OKX ENRT LK FRYDLANT VOR/DME
12  50.902680556   15.031900000     1300    11485   130      0.000  OKX ENRT LK FRYDLANT VOR/DME
13  50.211666667   20.935555556      689    11540   130      0.000  OLX ENRT EP OLESNO DME
 3  44.592500000   26.560277778      300    11710   130      5.000  OPT ENRT LR ROSIORI VOR/DME
12  44.592500000   26.560277778      300    11710   130      0.000  OPT ENRT LR ROSIORI VOR/DME
 3  51.797583333   55.453388889      387    11360   130     11.000  ORN ENRT UW ORENBURG VOR/DME
12  51.797583333   55.453388889      387    11360   130      0.000  ORN ENRT UW ORENBURG VOR/DME
 3  49.697491667   18.109075000      850    11745   130      4.000  OTA ENRT LK OSTRAVA VOR/DME
12  49.697491667   18.109075000      850    11745   130      0.000  OTA ENRT LK OSTRAVA VOR/DME
 2  58.979861111   22.844305556        0      386    25      0.000    O ENRT EE KARDLA NDB
 2  53.233333333   34.171666667        0      668    15      0.000    O ENRT UU BRYANSK NDB
