I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

 2  25.737844444   32.737583333        0      364    25      0.000   LO ENRT HE LUXOR NDB
 2  -1.993686111   30.282288889        0      255    15      0.000   LO ENRT HR KIGALI NDB
 2  -8.792641667   13.303936111        0      258    75      0.000   LU ENRT FN LUANDA NDB
 2 -32.980872222   18.148997222        0      345    75      0.000   LW ENRT FA LANGEBAANWEG NDB
 2 -15.321666667   28.370000000        0      386    75      0.000   LW ENRT FL LUSAKA NDB
 2 -15.493333333   28.243888889        0      235    75      0.000   LY ENRT FL LILAYI (LUSAKA) NDB
 2 -17.819861111   25.794466667        0      308    50      0.000   LZ ENRT FL HARRY NKUMBULA NDB
 2  28.955361111  -13.611972222        0      310    50      0.000   LZ ENRT GC LANZAROTE NDB
 3  56.467708333 -133.083113889       98    11650   130     20.000  LVD ENRT PA LEVEL ISLAND VOR/DME
12  56.467708333 -133.083113889       98    11650   130      0.000  LVD ENRT PA LEVEL ISLAND VOR/DME
 2  59.253611111 -119.335277778        0      300    25      0.000   L2 ENRT CY SHEKILIE (ZAMA LAMA) NDB
 2  53.334722222 -104.008888889        0      402    50      0.000   L4 ENRT CY NIPAWIN NDB
 2  58.926111111 -121.488611111        0      308    50      0.000   L6 ENRT CY YOYO NDB
 2  49.209483333 -102.859466667        0      395    50      0.000   L7 ENRT CY ESTEVAN NDB
 2  49.642500000  -97.300000000        0      336    25      0.000   LF ENRT CY LA SALLE NDB
 2  82.525833333  -62.211666667        0      305    50      0.000   LT ENRT CY ALERT NDB
 2  49.021111111 -122.049722222        0      214    50      0.000   LU ENRT CY CULTUS NDB
 2  68.871255556 -166.076002778        0      385    50      0.000  LUR ENRT PA CAPE LISBURNE NDB
 2  50.060863889 -119.416388889        0      257    25      0.000   LW ENRT CY KELOWNA NDB
 4  46.757500000  -56.188055556       23    10890    25    238.467   SP LFVP CF 26 ILS-cat-II
 6  46.766388889  -56.169722222       23    10890    25 300238.467   SP LFVP CF 26 GS
12  46.766388889  -56.169722222       23    10890    25      0.000   SP LFVP CF ST PIERRE DME-ILS
 3  52.422361111   16.830166667      394    11580   130      4.000  LAW ENRT EP POZNAN VOR/DME
12  52.422361111   16.830166667      394    11580   130      0.000  LAW ENRT EP POZNAN VOR/DME
13  43.909166667   39.336944444      131    11740   130      0.000  LAZ ENRT UR LAZAREVSKOYE DME
 3  39.090000000   63.611666667      647    10920   130      4.000  LBA ENRT UT TURKMENABAT VOR/DME
